Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2022-01-04,LC1CMx5gF1,dFycDkJyHe,b4HlzKiMKb,Dumbbell Shoulder Raise,9,9.0,fake_id_885
2021-05-05,bu5dN2uBJl,243X43p1XP,SeRuWsy5zu,Seated Leg Curl,12,63.50300732098956,fake_id_836
2021-11-25,ZcCuq6gkVg,djuvlRHUvb,KGNCH8g4q5,Dumbbell Rear Delt Raise,16,4.535929094356398,fake_id_886
2021-06-14,r7RiDK9T0C,GbK7ZSbRC6,rKz1CqZPq1,Kettlebell Sumo High Pull,7,18.0,fake_id_858
2021-05-05,S68xspsCcu,yR61QnjQAO,e7zOrJXq75,Medicine Ball Push Up,26,0.0,fake_id_862
2021-05-13,7ivSzuYs86,otjt26R0oL,YCIqEgXvfN,Barbell Shoulder Press,5,29.483539113316585,fake_id_851
2021-03-18,snl1D5cjZ1,xPS7RzoOGm,BOn7TnLl4L,Bent Over Barbell Row,10,40.82336184920758,fake_id_871
2021-08-14,nFbdjdlixq,AOQBAQ8rXC,LKjW6qkLUm,Pendlay Row,7,16.0,fake_id_868
2021-09-10,QJuZIhBgDD,9fptvki4pW,GvaiTOEklj,Barbell Hip Thrust,6,40.0,fake_id_879
2021-06-10,rhzS3XGqDK,DdtF1OFcuQ,6OAg5jYz2A,Tricep Push Up,20,0.0,fake_id_844
2021-12-06,PabLfbWt59,G1mxtZtEs5,XYkvOgiH8O,Back Squat,6,40.82336184920758,fake_id_878
2021-05-28,2pEE05XZvA,UQBXLgsfXN,IAFCkEpMOM,Dumbbell Shrug,12,22.67964547178199,fake_id_909
2021-09-24,2sh8JYzigs,DdtF1OFcuQ,Ib7Vx4OwZq,Tricep Push Up,9,0.0,fake_id_845
2021-01-19,rJ3nbaZSxT,EAjKaB5zWy,WY7c91jam7,Dumbbell Kickbacks,9,7.0,fake_id_837
2021-09-29,U6QialScnx,N6zu9IJNBz,1nCVFcBJ0w,Leg Raise,15,0.0,fake_id_865
2021-03-16,KkpzKU95ao,AF7Qq7XK2r,obTuntamWx,Air Squats,13,0.0,fake_id_836
2021-04-29,iOW6daC5D5,k3yxx2a6oz,fxUNL1FJWa,Seated Machine Calf Press,12,63.50300732098956,fake_id_890
2021-01-11,NNsUGBTiK9,Mok6zwcCl9,7G1cCAxSYM,Cable Upright Row,12,10.0,fake_id_884
2021-01-29,ogCfEKJBS0,wNarovWdLy,vPSI006Bc8,Cable Crunch,12,10.205840462301895,fake_id_848
2021-09-15,LvncWJkaup,DhkjvJNsNR,Bz2xAYGFiW,Sit Up,11,0.0,fake_id_886
2021-03-17,AImjOmr7ZL,gALxFFZcI4,ScKfCflBdQ,Dumbbell Decline Bench Press,15,20.0,fake_id_849
2021-03-20,lLPuAc2zkE,Yw1aA3soIp,dGXcOPF3X0,Dumbbell Sumo Squat,20,18.14371637742559,fake_id_869
2021-02-24,CNwyDkFrHv,G1mxtZtEs5,Nc9OoivpBk,Back Squat,12,49.895220037920375,fake_id_886
2021-04-23,ZGMbsJhUiC,nNMm3ywt6H,8tteSPJbwp,Pike Push Up,8,0.0,fake_id_862
2021-10-07,OwH5bi7hDi,r4bOO0fDTv,fM6Kw4dBU6,Plank,0,0.0,fake_id_852
2021-07-08,XmsI3ecXAx,AF7Qq7XK2r,GAkneeyk3v,Air Squats,10,0.0,fake_id_886
2021-08-23,6Zs1udSo5B,243X43p1XP,wi6v6R8e82,Seated Leg Curl,10,58.96707822663317,fake_id_836
2021-08-11,1VHcVFD7ZC,djuvlRHUvb,y7Foz8WQp5,Dumbbell Rear Delt Raise,5,10.0,fake_id_879
2021-11-02,7ejfdH1ALS,06kzIMnTzR,HAaS4n96mw,Oblique Crunch,9,0.0,fake_id_888
2021-10-10,xrAxt8e8jY,UThEK7cf4f,u225uzYbY2,Machine Fly,12,79.37875915123695,fake_id_850
2021-02-24,q1XfeNsqOx,r4bOO0fDTv,E0SXvR76Qf,Plank,0,0.0,fake_id_900
2021-02-19,EN5Zv59AE3,UQBXLgsfXN,ZsvDCriDqQ,Dumbbell Shrug,11,34.01946820767298,fake_id_856
2022-01-10,D7q5MiC6pb,Yw1aA3soIp,drV7FQ9a4M,Dumbbell Sumo Squat,15,11.339822735890994,fake_id_847
2021-04-20,atcqIusMit,r4bOO0fDTv,KHcBXhNxVB,Plank,0,0.0,fake_id_861
2021-11-24,iNufA3y0vH,58REE5sJU1,XByemeBneB,Russian Twist,18,11.339822735890994,fake_id_852
2021-05-14,yGjaRCTADH,ACSgVaipTW,kxFnrwRiYr,Dumbbell Squeeze Press,10,9.071858188712795,fake_id_851
2021-11-04,DnkLAALJpa,zJlvUiMLou,oCGgYXE0W8,Barbell Incline Bench Press,15,34.01946820767298,fake_id_892
2021-04-15,WYU1NrTBXd,G1mxtZtEs5,IsZjB8Mwzq,Back Squat,4,97.52247552866254,fake_id_835
2021-02-13,1wLxZcphS6,erjFOF21dc,K8bXHpB0p2,Reverse Barbell Curl,15,20.41168092460379,fake_id_838
2021-06-23,U4MeN56z6E,s5tzCNPRXw,dF69gL3pOb,Lunge Jump,6,0.0,fake_id_867
2021-03-17,W0FZqSnccX,AkKyo5MAvA,NXS6ZjtJzQ,Kettlebell Front Squat,10,15.87575183024739,fake_id_892
2021-10-18,bOtPPEOn0u,9VAkz3bNl4,jprKCdzGh4,Decline Push Up,17,0.0,fake_id_868
2021-06-14,5vMe2U82mf,3GvUTFN8up,AoIEGyvY02,Calf Raise,12,2.267964547178199,fake_id_865
2021-07-06,9IJ9CxoaNB,zJlvUiMLou,JswIIX4smN,Barbell Incline Bench Press,10,30.0,fake_id_876
2021-07-27,b3sKegtTcb,UThEK7cf4f,QL3u9vtWqI,Machine Fly,10,77.11079460405875,fake_id_850
2021-11-14,31LKWsnFfP,AF7Qq7XK2r,lhq7niSCjO,Air Squats,8,0.0,fake_id_834
2021-04-05,JaY2xSULpT,ewEcdHovom,HqpuaUd8kp,Hanging Leg Raise,20,0.0,fake_id_903
2021-12-06,PabLfbWt59,243X43p1XP,MUlAzyRzXe,Seated Leg Curl,8,36.28743275485118,fake_id_878
2021-07-15,gskj8QpmAS,r4bOO0fDTv,7PfzcpSNkM,Plank,0,0.0,fake_id_868
2021-12-26,b13uSHiJuf,G1mxtZtEs5,OUWHF4NY4n,Back Squat,8,60.0,fake_id_885
2021-08-10,HmEObI9Y3R,r4bOO0fDTv,0DNeKlARxn,Plank,0,0.0,fake_id_877
2021-12-29,Klc5sK2ruu,UThEK7cf4f,6D9l9j1mYn,Machine Fly,10,68.03893641534596,fake_id_887
2021-12-26,euw23xbnDC,djuvlRHUvb,aKH1nSbw8k,Dumbbell Rear Delt Raise,17,7.937875915123695,fake_id_839
2021-10-18,gqIF1XTCKF,AF7Qq7XK2r,GI9vHU6zNX,Air Squats,8,0.0,fake_id_877
2021-03-25,rQD3hoDczb,DdtF1OFcuQ,DOOwE424vm,Tricep Push Up,15,0.0,fake_id_838
2021-06-18,GET5RQwZji,zJlvUiMLou,Cc3KWHalRM,Barbell Incline Bench Press,6,30.0,fake_id_879
2021-02-15,qHBHIJUd7k,1sQqqUqJyp,EKFQrXM3zr,Frog Pump,9,0.0,fake_id_863
2021-04-19,pSr0H5VupL,wNarovWdLy,VW93mnFES1,Cable Crunch,15,22.67964547178199,fake_id_866
2021-04-03,NY3Uqx4Ium,EAjKaB5zWy,PhaXr8H9K8,Dumbbell Kickbacks,12,10.205840462301895,fake_id_893
2021-01-16,S1HMFguulX,9VAkz3bNl4,OB45eCgIJ9,Decline Push Up,28,0.0,fake_id_858
2021-06-02,1Gm56Zhg0G,9zYC4cN1jr,OixGB0q2eF,Handle Band Squat to Press,10,0.0,fake_id_858
2021-07-26,zzqbFAZTdi,Gx6Z2fevPD,WSlR7SrHa7,Incline Dumbbell Row,10,11.339822735890994,fake_id_842
2021-07-14,gXyeuFWi41,9q2Cdgm0FM,5qGFpN10Zc,Machine Leg Press,15,20.41168092460379,fake_id_887
2021-06-28,llJ6KgLkfB,djuvlRHUvb,tFOLdwvjug,Dumbbell Rear Delt Raise,8,5.669911367945497,fake_id_842
2021-03-27,3M6XScxuCl,dFycDkJyHe,T2tT66UeV7,Dumbbell Shoulder Raise,8,6.8038936415345965,fake_id_901
2021-06-26,d2rfIfJ0fU,dFycDkJyHe,KKE54F905P,Dumbbell Shoulder Raise,14,4.535929094356398,fake_id_834
2021-09-16,FkZWQJ6fGt,k4ivWt2zuv,RZR8ITZC5L,Barbell Glute Bridge,8,40.0,fake_id_879
2021-05-02,i2sL1TxbeL,otjt26R0oL,s7M26oK2rc,Barbell Shoulder Press,8,35.0,fake_id_849
2021-08-12,l3WLSYK8Ii,243X43p1XP,wl0xAUi2GR,Seated Leg Curl,8,54.43114913227677,fake_id_841
2021-10-30,t9NKBGzPXE,58REE5sJU1,zrNg39t4Qd,Russian Twist,15,0.0,fake_id_838
2021-08-24,rK5OJbhfzZ,jJmv4Zv028,1CVsJILyh3,Overhead Weighted Sit Up,15,4.535929094356398,fake_id_844
2021-08-14,l4hUGHLEhU,AOQBAQ8rXC,FhwPfB3Few,Pendlay Row,7,16.0,fake_id_868
2021-12-08,OfSKUO7FgW,uHBREgyju0,lFWt4bOhFJ,Step Up,10,13.607787283069193,fake_id_882
2021-02-08,NUUrWQDegU,243X43p1XP,iCF4ZHmIBC,Seated Leg Curl,10,104.32636917019714,fake_id_890
2021-12-04,go0hR9HIB8,UQBXLgsfXN,TdOReWvfY4,Dumbbell Shrug,10,43.091326396385774,fake_id_882
2021-07-23,qWsx8WxQH1,k4ivWt2zuv,IeNa3Gti2z,Barbell Glute Bridge,10,47.62725549074217,fake_id_838
2021-02-22,prLo2Z6Nbq,G1mxtZtEs5,qkPGVTJvxA,Back Squat,5,75.0,fake_id_837
2021-02-17,icZfE3Ov2D,zJlvUiMLou,g7IQtakGof,Barbell Incline Bench Press,8,65.77097186816776,fake_id_890
2021-03-14,OIGw0P8s7r,uHBREgyju0,XywlwFSMHE,Step Up,8,0.0,fake_id_834
2021-05-21,9v6EE1vC5f,s5tzCNPRXw,8xA17P0SFx,Lunge Jump,7,0.0,fake_id_847
2021-11-09,B96ug8WVBy,dldAGWTRYw,Bbb0Sa8msQ,Forward Stability Ball Plank,0,0.0,fake_id_846
2021-06-04,LZ1YqcSORA,otjt26R0oL,HihmtCnGew,Barbell Shoulder Press,6,38.55539730202938,fake_id_852
2021-07-06,Z1yEfsQI74,jgnSb5e39S,kr0Fd8JxZD,Australian Chin Up,10,0.0,fake_id_868
2021-05-01,ylBa2jQ3DV,uHBREgyju0,Kfmj98ANq5,Step Up,15,0.0,fake_id_838
2021-05-20,MxebSJJCPh,DdtF1OFcuQ,DIEk55gg5u,Tricep Push Up,7,0.0,fake_id_882
2021-09-29,mlXhhUnKD7,BTmBzxhAmZ,kJV9DXXmpM,Dumbbell Pullover,8,9.071858188712795,fake_id_851
2021-01-11,e5ZO7tbFcq,06kzIMnTzR,Xl4iSJaKXE,Oblique Crunch,9,0.0,fake_id_853
2021-09-16,rIoHntMLP8,AF7Qq7XK2r,eWyNKnk53i,Air Squats,28,0.0,fake_id_900
2021-06-29,PqMA4hi9U3,k3yxx2a6oz,erzqwkFCOt,Seated Machine Calf Press,12,61.235042773811365,fake_id_864
2021-12-06,gFXPhghPZk,r4bOO0fDTv,rC1qsJdg5t,Plank,0,0.0,fake_id_856
2021-02-19,AC2pae7VQS,EAjKaB5zWy,XvdEi2de2t,Dumbbell Kickbacks,7,10.205840462301895,fake_id_842
2021-04-23,lI31zvkiP3,djuvlRHUvb,b2NP1e1rQ9,Dumbbell Rear Delt Raise,8,11.339822735890994,fake_id_865
2021-04-15,CmM5LFRbrU,58REE5sJU1,AjxYatkcGO,Russian Twist,18,9.071858188712795,fake_id_862
2021-05-19,A52d4pUAXA,y2Gg0PEzd8,cNCGLHlnVu,Preacher Curl,11,31.75150366049478,fake_id_856
2021-01-30,T6kLFehbcF,Yw1aA3soIp,BkkySlZiD2,Dumbbell Sumo Squat,12,22.67964547178199,fake_id_869
2021-04-20,atcqIusMit,r4bOO0fDTv,icXXFd99Qg,Plank,0,0.0,fake_id_861
2021-10-08,sEKCdAbbxc,06kzIMnTzR,7NigWv6uoK,Oblique Crunch,12,0.0,fake_id_845
